term	search	stem	removestop	sim	termweights	p_0.25	p_0.5	p_0.75	p_1.0	p_mean1	p_mean2	r_norm	p_norm	hprec_strict	hrecall_strict	hf1_strict	hprec_soft	hrecall_soft	hf1_soft
tfidf	search_basic	False	False	jaccard	1,1,1,4	0.3825	0.3278	0.2284	0.1234	0.3129	0.3071	0.6768	0.5254	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	False	overlap	1,1,1,1	0.3421	0.2045	0.1760	0.1195	0.2409	0.2552	0.6530	0.4814	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	False	overlap	3,3,4,1	0.3421	0.2081	0.1770	0.1204	0.2424	0.2572	0.6589	0.4851	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	False	False	overlap	1,1,1,4	0.3428	0.1921	0.1769	0.1188	0.2373	0.2527	0.6500	0.4785	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	True	cosine	1,1,1,1	0.4482	0.3561	0.2058	0.1417	0.3367	0.3383	0.7197	0.5658	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	True	cosine	3,3,4,1	0.4393	0.3709	0.1986	0.1395	0.3363	0.3343	0.7207	0.5658	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	True	cosine	1,1,1,4	0.4417	0.3561	0.2045	0.1405	0.3341	0.3394	0.7173	0.5652	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	True	dice	1,1,1,1	0.4960	0.3646	0.2087	0.1404	0.3564	0.3464	0.7171	0.5661	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	True	dice	3,3,4,1	0.5285	0.4052	0.2288	0.1385	0.3875	0.3744	0.7187	0.5787	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	True	dice	1,1,1,4	0.4957	0.3616	0.2070	0.1397	0.3548	0.3449	0.7150	0.5638	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	True	jaccard	1,1,1,1	0.4960	0.3646	0.2087	0.1404	0.3564	0.3464	0.7171	0.5661	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	True	jaccard	3,3,4,1	0.5285	0.4052	0.2288	0.1385	0.3875	0.3744	0.7187	0.5787	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	True	jaccard	1,1,1,4	0.4957	0.3616	0.2070	0.1397	0.3548	0.3449	0.7150	0.5638	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	True	overlap	1,1,1,1	0.4151	0.2656	0.1957	0.1336	0.2921	0.2905	0.7035	0.5289	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	True	overlap	3,3,4,1	0.4329	0.3014	0.1941	0.1319	0.3095	0.3042	0.7096	0.5419	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	True	overlap	1,1,1,4	0.4152	0.2577	0.1938	0.1336	0.2889	0.2886	0.7007	0.5259	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	False	cosine	1,1,1,1	0.4627	0.3468	0.1994	0.1350	0.3363	0.3342	0.6998	0.5515	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	False	cosine	3,3,4,1	0.4586	0.3569	0.2037	0.1336	0.3397	0.3384	0.7048	0.5567	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	False	cosine	1,1,1,4	0.4700	0.3496	0.1999	0.1346	0.3398	0.3339	0.6985	0.5516	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	False	dice	1,1,1,1	0.5088	0.4094	0.2278	0.1324	0.3820	0.3647	0.6957	0.5565	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	False	dice	3,3,4,1	0.5168	0.4115	0.2207	0.1315	0.3830	0.3655	0.6977	0.5593	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	False	dice	1,1,1,4	0.4784	0.3591	0.2026	0.1328	0.3467	0.3387	0.6933	0.5480	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	False	jaccard	1,1,1,1	0.5088	0.4094	0.2278	0.1324	0.3820	0.3647	0.6957	0.5565	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	False	jaccard	3,3,4,1	0.5168	0.4115	0.2207	0.1315	0.3830	0.3655	0.6977	0.5593	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	False	jaccard	1,1,1,4	0.4784	0.3591	0.2026	0.1328	0.3467	0.3387	0.6933	0.5480	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	False	overlap	1,1,1,1	0.3813	0.2367	0.1840	0.1306	0.2673	0.2811	0.6784	0.5099	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	False	overlap	3,3,4,1	0.3836	0.2850	0.1817	0.1284	0.2834	0.2915	0.6845	0.5191	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
tfidf	search_basic	True	False	overlap	1,1,1,4	0.3767	0.2253	0.1819	0.1309	0.2613	0.2778	0.6750	0.5064	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	True	cosine	1,1,1,1	0.3428	0.1995	0.1789	0.1205	0.2404	0.2545	0.6757	0.4913	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	True	cosine	3,3,4,1	0.3658	0.1886	0.1753	0.1184	0.2432	0.2605	0.6670	0.4880	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	True	cosine	1,1,1,4	0.3282	0.2045	0.1823	0.1218	0.2383	0.2502	0.6751	0.4811	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	True	dice	1,1,1,1	0.2874	0.2786	0.2142	0.1115	0.2601	0.2570	0.6565	0.4703	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	True	dice	3,3,4,1	0.2601	0.2069	0.1799	0.1114	0.2156	0.2247	0.6553	0.4606	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	True	dice	1,1,1,4	0.2882	0.2788	0.2211	0.1121	0.2627	0.2584	0.6604	0.4714	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
boolean	search_basic	False	True	jaccard	1,1,1,1	0.2874	0.2786	0.2142	0.1115	0.2601	0.2570	0.6565	0.4703	1.0000	0.2531	0.3889	1.0000	0.2982	0.4359
